,largeur mm,hauteur mm,longueur m,cubage,prix pièce,,prix m3 72mm,,fournisseur,Nom,Référence,Catégorie,Essence
LC,87,270,2,"0,04698","33,36 €",,710,,LCCO,87x270mm 2m Lamellés,L87X270/2m,LAMELLES,Lamellés
LC,87,270,3,"0,07047","50,03 €",,710,,LCCO,87x270mm 3m Lamellés,L87X270/3m,LAMELLES,Lamellés
LC,87,270,4,"0,09396","66,71 €",,710,,LCCO,87x270mm 4m Lamellés,L87X270/4m,LAMELLES,Lamellés
LC,87,270,5,"0,11745","83,39 €",,710,,LCCO,87x270mm 5m Lamellés,L87X270/5m,LAMELLES,Lamellés
LC,87,270,6,"0,14094","100,07 €",,710,,LCCO,87x270mm 6m Lamellés,L87X270/6m,LAMELLES,Lamellés
LC,87,270,7,"0,16443","116,75 €",,710,,LCCO,87x270mm 7m Lamellés,L87X270/7m,LAMELLES,Lamellés
LC,87,270,8,"0,18792","133,42 €",,710,,LCCO,87x270mm 8m Lamellés,L87X270/8m,LAMELLES,Lamellés
LC,87,270,9,"0,21141","150,10 €",,710,,LCCO,87x270mm 9m Lamellés,L87X270/9m,LAMELLES,Lamellés
LC,87,270,10,"0,2349","166,78 €",,710,,LCCO,87x270mm 10m Lamellés,L87X270/10m,LAMELLES,Lamellés
LC,87,270,11,"0,25839","183,46 €",,710,,LCCO,87x270mm 11m Lamellés,L87X270/11m,LAMELLES,Lamellés
LC,87,270,12,"0,28188","200,13 €",,710,,LCCO,87x270mm 12m Lamellés,L87X270/12m,LAMELLES,Lamellés
LC,87,270,13,"0,30537","216,81 €",,710,,LCCO,87x270mm 13m Lamellés,L87X270/13m,LAMELLES,Lamellés
LC,87,315,2,"0,05481","38,92 €",,710,,LCCO,87x315mm 2m Lamellés,L87X315/2m,LAMELLES,Lamellés
LC,87,315,3,"0,082215","58,37 €",,710,,LCCO,87x315mm 3m Lamellés,L87X315/3m,LAMELLES,Lamellés
LC,87,315,4,"0,10962","77,83 €",,710,,LCCO,87x315mm 4m Lamellés,L87X315/4m,LAMELLES,Lamellés
LC,87,315,5,"0,137025","97,29 €",,710,,LCCO,87x315mm 5m Lamellés,L87X315/5m,LAMELLES,Lamellés
LC,87,315,6,"0,16443","116,75 €",,710,,LCCO,87x315mm 6m Lamellés,L87X315/6m,LAMELLES,Lamellés
LC,87,315,7,"0,191835","136,20 €",,710,,LCCO,87x315mm 7m Lamellés,L87X315/7m,LAMELLES,Lamellés
LC,87,315,8,"0,21924","155,66 €",,710,,LCCO,87x315mm 8m Lamellés,L87X315/8m,LAMELLES,Lamellés
LC,87,315,9,"0,246645","175,12 €",,710,,LCCO,87x315mm 9m Lamellés,L87X315/9m,LAMELLES,Lamellés
LC,87,315,10,"0,27405","194,58 €",,710,,LCCO,87x315mm 10m Lamellés,L87X315/10m,LAMELLES,Lamellés
LC,87,315,11,"0,301455","214,03 €",,710,,LCCO,87x315mm 11m Lamellés,L87X315/11m,LAMELLES,Lamellés
LC,87,315,12,"0,32886","233,49 €",,710,,LCCO,87x315mm 12m Lamellés,L87X315/12m,LAMELLES,Lamellés
LC,87,315,13,"0,356265","252,95 €",,710,,LCCO,87x315mm 13m Lamellés,L87X315/13m,LAMELLES,Lamellés
LC,87,360,2,"0,06264","44,47 €",,710,,LCCO,87x360mm 2m Lamellés,L87X360/2m,LAMELLES,Lamellés
LC,87,360,3,"0,09396","66,71 €",,710,,LCCO,87x360mm 3m Lamellés,L87X360/3m,LAMELLES,Lamellés
LC,87,360,4,"0,12528","88,95 €",,710,,LCCO,87x360mm 4m Lamellés,L87X360/4m,LAMELLES,Lamellés
LC,87,360,5,"0,1566","111,19 €",,710,,LCCO,87x360mm 5m Lamellés,L87X360/5m,LAMELLES,Lamellés
LC,87,360,6,"0,18792","133,42 €",,710,,LCCO,87x360mm 6m Lamellés,L87X360/6m,LAMELLES,Lamellés
LC,87,360,7,"0,21924","155,66 €",,710,,LCCO,87x360mm 7m Lamellés,L87X360/7m,LAMELLES,Lamellés
LC,87,360,8,"0,25056","177,90 €",,710,,LCCO,87x360mm 8m Lamellés,L87X360/8m,LAMELLES,Lamellés
